text,label,scam_type,language,source_group,provenance
"Dear Customer, Your SBI account will be blocked today due to pending KYC update. Click http://sbi-kyc-verification.cc to submit Aadhaar and PAN immediately.",1,bank_kyc,en,sbi_kyc_block_01,curated_indian_bank_telemetry
SBI Alert: Your NetBanking access is suspended. Complete your mandatory KYC at https://sbi-portal-verify.in or visit link to prevent permanent account suspension.,1,bank_kyc,en,sbi_kyc_block_01,curated_indian_bank_telemetry
"HDFC Bank Alert: Dear User, Your PAN card is not linked to your savings account. Your debit card has been deactivated. Update PAN now: https://hdfc-pan-update.online",1,bank_kyc,en,hdfc_pan_block_02,curated_indian_bank_telemetry
Important Notice: HDFC NetBanking card deactivated. Link PAN card immediately on https://hdfc-kyc-portal.com within 24 hours to resume banking services.,1,bank_kyc,en,hdfc_pan_block_02,curated_indian_bank_telemetry
"ICICI Warning: Dear customer, your account ending in 4920 will be terminated in 12 hours. Update re-KYC by downloading our official APK from http://icici-quick-kyc.org",1,bank_kyc,en,icici_kyc_sms_03,curated_indian_bank_telemetry
PNB Alert: Your bank account will be blocked today. Please contact customer care executive at 9820100492 to re-activate your net banking and share verification code.,1,bank_kyc,en,pnb_account_dormant_04,curated_indian_bank_telemetry
Bank of Baroda Suchna: Aapka khata KYC update na hone ke karan block ho raha hai. Turant diye gaye link http://bob-kyc-help.top par jakar Aadhaar number darj karein.,1,bank_kyc,hi-en,bob_kyc_hinglish_05,curated_indian_bank_telemetry
"Axis Bank: Your credit card points worth Rs 8,450 will expire tonight. Complete KYC authentication to convert points to cash credit in your savings account: http://axis-redeem.cc",1,bank_kyc,en,axis_rewards_kyc_06,curated_indian_bank_telemetry
Kotak Mahindra Bank: RBI mandate requires biometric e-KYC submission. Failure will freeze outgoing UPI transactions. Submit verification documents at https://kotak-ekyc.live,1,bank_kyc,en,kotak_kyc_docs_07,curated_indian_bank_telemetry
This is Inspector Rajesh Sharma from Central Bureau of Investigation (CBI) Cyber Crime Cell. A warrant of arrest is issued against your Aadhaar for money laundering of Rs 3.8 Crores in Canara Bank. Connect on Skype / WhatsApp video call immediately under Digital Arrest.,1,digital_arrest,en,cbi_mumbai_extortion_01,cert_in_advisories_and_fir_records
URGENT CBI NOTICE: Non-bailable warrant issued under PMLA Section 4. You are placed under digital house arrest. Do not inform family or disconnect video call until verification deposit is transferred.,1,digital_arrest,en,cbi_mumbai_extortion_01,cert_in_advisories_and_fir_records
Mumbai Crime Branch: Your mobile number is registered in human trafficking and narcotics shipment intercepted at international airport. You are in virtual custody. Transfer collateral funds to RBI verification escrow account.,1,digital_arrest,en,mumbai_police_trafficking_02,cert_in_advisories_and_fir_records
Enforcement Directorate (ED) summons: Bank accounts linked to your PAN have shown suspicious illegal foreign remittances. Keep camera on at all times under Digital Arrest protocol until case clearance certificate is issued.,1,digital_arrest,en,ed_money_laundering_03,cert_in_advisories_and_fir_records
Delhi Police Cyber Crime Headquarter: Aapke naam par Supreme Court se digital arrest warrant nikla hai. Video call par judiye aur turant apne bank balance ki jaanch karwayein warna police ghar bhej di jayegi.,1,digital_arrest,hi-en,delhi_cyber_cell_04,cert_in_advisories_and_fir_records
Department of Telecommunications (DoT) & Cyber Police: All SIM cards under your Aadhaar will be disconnected in 2 hours due to 17 harassment complaints. Press 9 to transfer to Cyber Crime Branch for video statement.,1,digital_arrest,en,trai_police_sim_05,cert_in_advisories_and_fir_records
"Hello sir, I want to buy your furniture on OLX. I am an army officer. I have generated a merchant QR code for advance payment of Rs 15,000. Scan the QR code and enter your UPI PIN to receive payment in your account.",1,upi_fraud,en,olx_qr_advance_01,curated_upi_telemetry
"To receive payment of Rs 15,000 from army store buyer, scan this PhonePe QR and enter your secret UPI PIN to credit funds directly to your bank account.",1,upi_fraud,en,olx_qr_advance_01,curated_upi_telemetry
"Google Pay Reward Alert: Congratulations! You have received cashback of Rs 2,999 on your recent transaction. Click the link to claim reward: https://gpay-reward-collect.in and approve the UPI collect request.",1,upi_fraud,en,gpay_cashback_collect_02,curated_upi_telemetry
"PhonePe Support: Your failed transaction refund of Rs 4,500 is approved. Send Rs 1 to verify-vpa@okhdfcbank with remarks 'REFUND' to release full settlement back into your account.",1,upi_fraud,en,phonepe_refund_vpa_03,curated_upi_telemetry
"Dear Consumer, your electricity power will be disconnected tonight at 9:30 PM from the power station because previous month bill was not updated. Immediately pay pending Rs 15 via UPI to executive at 9876543210 or call electricity officer.",1,upi_fraud,en,electricity_bill_disconnection_04,curated_upi_telemetry
Bijli Vibhag Suchna: Aaj raat 10 baje aapki bijli kaat di jayegi kyunki pichhla bill jama nahi hua hai. Sampark karein bijli adhikaari 9820100492 par aur turant UPI se bhugtan karein.,1,upi_fraud,hi-en,electricity_bill_disconnection_04,curated_upi_telemetry
NETC FASTag Alert: Your vehicle FASTag account has negative balance. Toll gate passage blocked. Recharge instantly through NHAI portal link: http://fastag-nhai-pay.biz to avoid Rs 500 penalty.,1,upi_fraud,en,fastag_recharge_scam_05,curated_upi_telemetry
"FedEx Express Notice: Parcel tracking #FX-98201 sent in your name to Taiwan has been confiscated by Mumbai Customs. Package contains 5 fake passports, 150 grams MDMA and 4 kg illegal medicines. Press 2 to talk to Customs officer.",1,courier_scam,en,fedex_customs_drugs_01,customs_advisories_and_police_records
"Blue Dart Delivery Security: Consignment addressed to you detained at Delhi Cargo. Illegal contraband and narcotics identified. Pay clearance duty fee of Rs 25,000 to prevent immediate narcotics FIR registration.",1,courier_scam,en,fedex_customs_drugs_01,customs_advisories_and_police_records
India Post Alert: Your parcel #IN83920194 cannot be delivered due to incorrect house address. Update correct postal address within 12 hours at https://indiapost-parcel-update.com or item will be returned to sender.,1,courier_scam,en,india_post_address_fix_02,customs_advisories_and_police_records
"DHL Worldwide Express: An international shipment with tracking number DHL-74921 has arrived for you. Customs tax of Rs 1,480 must be paid online at http://dhl-tax-clearance.net to release your parcel.",1,courier_scam,en,dhl_duty_fee_03,customs_advisories_and_police_records
"Part Time Work From Home Job: Earn Rs 3,000 to Rs 8,000 daily by simply liking YouTube videos and subscribing to channels. No experience needed. Daily payout directly via UPI. Message our HR on Telegram @EarnDaily_India.",1,job_scam,en,telegram_youtube_tasks_01,cybercrime_portal_telemetry
Amazon & Google partner hiring: Work from home 2 hours daily rating hotel apps and YouTube content. Get Rs 500 per task. Join our Telegram recruitment channel @TaskPayoutsIndia now.,1,job_scam,en,telegram_youtube_tasks_01,cybercrime_portal_telemetry
